date,open,high,low,close,adj_close,volume
"Mar 26, 2024","21,947.90","22,073.20","21,947.55","22,004.70","22,004.70",-
"Mar 22, 2024","21,932.20","22,180.70","21,883.30","22,096.75","22,096.75","388,700"
"Mar 21, 2024","21,989.90","22,080.95","21,941.30","22,011.95","22,011.95","353,200"
"Mar 20, 2024","21,843.90","21,930.90","21,710.20","21,839.10","21,839.10","312,400"
"Mar 19, 2024","21,946.45","21,978.30","21,793.10","21,817.45","21,817.45","344,200"
"Mar 18, 2024","21,990.10","22,123.70","21,916.55","22,055.70","22,055.70","356,300"
"Mar 15, 2024","22,064.85","22,120.90","21,931.70","22,023.35","22,023.35","661,500"
"Mar 14, 2024","21,982.55","22,204.60","21,917.50","22,146.65","22,146.65","426,700"
"Mar 13, 2024","22,432.20","22,446.75","21,905.65","21,997.70","21,997.70","493,300"
"Mar 12, 2024","22,334.45","22,452.55","22,256.00","22,335.70","22,335.70","299,200"
"Mar 11, 2024","22,517.50","22,526.60","22,307.25","22,332.65","22,332.65","277,900"
"Mar 07, 2024","22,505.30","22,525.65","22,430.00","22,493.55","22,493.55","379,900"
"Mar 06, 2024","22,327.50","22,497.20","22,224.35","22,474.05","22,474.05","312,300"
"Mar 05, 2024","22,371.25","22,416.90","22,269.15","22,356.30","22,356.30","296,200"
"Mar 04, 2024","22,403.50","22,440.90","22,358.30","22,405.60","22,405.60","298,800"
"Mar 01, 2024","22,048.30","22,353.30","22,047.75","22,338.75","22,338.75","351,500"
"Feb 29, 2024","21,935.20","22,060.55","21,860.65","21,982.80","21,982.80","360,200"
"Feb 28, 2024","22,214.10","22,229.15","21,915.85","21,951.15","21,951.15","203,000"
"Feb 27, 2024","22,090.20","22,218.25","22,085.65","22,198.35","22,198.35","252,200"
"Feb 26, 2024","22,169.20","22,202.15","22,075.15","22,122.05","22,122.05","207,800"
"Feb 23, 2024","22,290.00","22,297.50","22,186.10","22,212.70","22,212.70","226,000"
"Feb 22, 2024","22,081.55","22,252.50","21,875.25","22,217.45","22,217.45","343,500"
"Feb 21, 2024","22,248.85","22,249.40","21,997.95","22,055.05","22,055.05","364,500"
"Feb 20, 2024","22,099.20","22,215.60","22,045.85","22,196.95","22,196.95","295,700"
"Feb 19, 2024","22,103.45","22,186.65","22,021.05","22,122.25","22,122.25",-
"Feb 16, 2024","22,020.30","22,068.65","21,968.95","22,040.70","22,040.70","343,900"
"Feb 15, 2024","21,906.55","21,953.85","21,794.80","21,910.75","21,910.75","345,400"
"Feb 14, 2024","21,578.15","21,870.85","21,530.20","21,840.05","21,840.05","359,100"
"Feb 13, 2024","21,664.30","21,766.80","21,543.35","21,743.25","21,743.25","365,800"
"Feb 12, 2024","21,800.80","21,831.70","21,574.75","21,616.05","21,616.05","287,400"
"Feb 09, 2024","21,727.00","21,804.45","21,629.90","21,782.50","21,782.50","349,200"
"Feb 08, 2024","22,009.65","22,011.05","21,665.30","21,717.95","21,717.95","491,100"
"Feb 07, 2024","22,045.05","22,053.30","21,860.15","21,930.50","21,930.50","346,300"
"Feb 06, 2024","21,825.20","21,951.40","21,737.55","21,929.40","21,929.40","371,000"
"Feb 05, 2024","21,921.05","21,964.30","21,726.95","21,771.70","21,771.70","440,800"
"Feb 02, 2024","21,812.75","22,126.80","21,805.55","21,853.80","21,853.80","442,800"
"Feb 01, 2024","21,780.65","21,832.95","21,658.75","21,697.45","21,697.45","332,500"
"Jan 31, 2024","21,487.25","21,741.35","21,448.85","21,725.70","21,725.70","410,600"
"Jan 30, 2024","21,775.75","21,813.05","21,501.80","21,522.10","21,522.10","375,100"
"Jan 29, 2024","21,433.10","21,763.25","21,429.60","21,737.60","21,737.60","376,700"
"Jan 25, 2024","21,454.60","21,459.00","21,247.05","21,352.60","21,352.60","418,100"
"Jan 24, 2024","21,185.25","21,482.35","21,137.20","21,453.95","21,453.95","407,500"
"Jan 23, 2024","21,716.70","21,750.25","21,192.60","21,238.80","21,238.80","449,700"
"Jan 19, 2024","21,615.20","21,670.60","21,575.00","21,622.40","21,622.40","343,100"
"Jan 18, 2024","21,414.20","21,539.40","21,285.55","21,462.25","21,462.25","387,300"
"Jan 17, 2024","21,647.25","21,851.50","21,550.45","21,571.95","21,571.95","456,000"
"Jan 16, 2024","22,080.50","22,124.15","21,969.80","22,032.30","22,032.30","292,400"
"Jan 15, 2024","22,053.15","22,115.55","21,963.55","22,097.45","22,097.45","345,500"
"Jan 12, 2024","21,773.55","21,928.25","21,715.15","21,894.55","21,894.55","294,700"
"Jan 11, 2024","21,688.00","21,726.50","21,593.75","21,647.20","21,647.20","212,500"
"Jan 10, 2024","21,529.30","21,641.85","21,448.65","21,618.70","21,618.70","217,000"
"Jan 09, 2024","21,653.60","21,724.45","21,517.85","21,544.85","21,544.85","228,600"
"Jan 08, 2024","21,747.60","21,763.95","21,492.90","21,513.00","21,513.00","231,500"
"Jan 05, 2024","21,705.75","21,749.60","21,629.20","21,710.80","21,710.80","309,300"
"Jan 04, 2024","21,605.80","21,685.65","21,564.55","21,658.60","21,658.60","339,200"
"Jan 03, 2024","21,661.10","21,677.00","21,500.35","21,517.35","21,517.35","311,900"
"Jan 02, 2024","21,751.35","21,755.60","21,555.65","21,665.80","21,665.80","263,700"
"Jan 01, 2024","21,727.75","21,834.35","21,680.85","21,741.90","21,741.90","154,000"
